   PID TTY          TIME CMD
     1 ?        00:00:01 init
     2 ?        00:00:00 kthreadd
     3 ?        00:00:00 ksoftirqd/0
     5 ?        00:00:00 kworker/0:0H
     7 ?        00:00:00 rcu_sched
     8 ?        00:00:00 rcu_bh
     9 ?        00:00:00 migration/0
    10 ?        00:00:00 watchdog/0
    11 ?        00:00:00 watchdog/1
    12 ?        00:00:00 migration/1
    13 ?        00:00:00 ksoftirqd/1
    15 ?        00:00:00 kworker/1:0H
    16 ?        00:00:00 kdevtmpfs
    17 ?        00:00:00 netns
    18 ?        00:00:00 perf
    19 ?        00:00:00 xenwatch
    20 ?        00:00:00 xenbus
    22 ?        00:00:00 khungtaskd
    23 ?        00:00:00 writeback
    24 ?        00:00:00 ksmd
    25 ?        00:00:00 khugepaged
    26 ?        00:00:00 crypto
    27 ?        00:00:00 kintegrityd
    28 ?        00:00:00 bioset
    29 ?        00:00:00 kblockd
    31 ?        00:00:00 ata_sff
    32 ?        00:00:00 md
    33 ?        00:00:00 devfreq_wq
    36 ?        00:00:00 kswapd0
    37 ?        00:00:00 vmstat
    38 ?        00:00:00 fsnotify_mark
    39 ?        00:00:00 ecryptfs-kthrea
    55 ?        00:00:00 kthrotld
    56 ?        00:00:00 acpi_thermal_pm
    57 ?        00:00:00 khvcd
    58 ?        00:00:00 bioset
    59 ?        00:00:00 bioset
    60 ?        00:00:00 bioset
    61 ?        00:00:00 bioset
    62 ?        00:00:00 bioset
    63 ?        00:00:00 bioset
    64 ?        00:00:00 bioset
    65 ?        00:00:00 bioset
    66 ?        00:00:00 bioset
    67 ?        00:00:00 bioset
    68 ?        00:00:00 bioset
    69 ?        00:00:00 bioset
    70 ?        00:00:00 bioset
    71 ?        00:00:00 bioset
    72 ?        00:00:00 bioset
    73 ?        00:00:00 bioset
    74 ?        00:00:00 bioset
    75 ?        00:00:00 bioset
    76 ?        00:00:00 bioset
    77 ?        00:00:00 bioset
    78 ?        00:00:00 bioset
    79 ?        00:00:00 bioset
    80 ?        00:00:00 bioset
    81 ?        00:00:00 bioset
    82 ?        00:00:00 bioset
    83 ?        00:00:00 scsi_eh_0
    84 ?        00:00:00 scsi_tmf_0
    85 ?        00:00:00 scsi_eh_1
    86 ?        00:00:00 scsi_tmf_1
    91 ?        00:00:00 ipv6_addrconf
   105 ?        00:00:00 deferwq
   106 ?        00:00:00 charger_manager
   107 ?        00:00:00 bioset
   156 ?        00:00:00 bioset
   158 ?        00:00:00 bioset
   159 ?        00:00:00 kpsmoused
   160 ?        00:00:00 bioset
   161 ?        00:00:00 bioset
   162 ?        00:00:00 bioset
